dataset,n,n_multi,frac_multi,max_order,n_pos,n_pos_multi,med_span,p90_span,combinatorial
SPG1_STRSG_Olson_2014,536962,535917,0.9980538660091404,2,55,55,16.0,38.0,False
HIS7_YEAST_Pokusaeva_2019,496137,495969,0.9996613838516377,28,171,171,25.0,29.0,False
PHOT_CHLRE_Chen_2023,167529,165407,0.9873335362832704,15,118,15,106.0,110.0,False
SPG1_STRSG_Wu_2016,149360,149284,0.9994911622924478,4,4,4,15.0,15.0,True
GRB2_HUMAN_Faure_2021,63366,62332,0.9836821008111606,2,56,56,24.0,43.0,False
GFP_AEQVI_Sarkisyan_2016,51714,50630,0.9790385582240786,15,233,233,130.0,201.0,False
CAPSD_AAV2S_Sinai_2021,42328,41796,0.9874314874314875,28,28,28,17.0,26.0,False
PABP_YEAST_Melamed_2013,37708,36521,0.9685212686962978,2,75,75,8.0,17.0,False
Q8WTC7_9CNID_Somermeyer_2022,33510,32309,0.9641599522530588,43,237,237,134.0,217.0,False
Q6WV12_9MAXI_Somermeyer_2022,31401,30260,0.9636635775930703,13,221,221,96.0,177.0,False
D7PM05_CLYGR_Somermeyer_2022,24515,23346,0.9523149092392413,23,234,234,112.0,192.0,False
RASK_HUMAN_Weng_2022_abundance,26012,22946,0.8821313240043057,2,187,186,25.0,48.0,False
RASK_HUMAN_Weng_2022_binding-DARPin_K55,24873,21789,0.8760101314678567,2,187,187,26.0,48.0,False
A4_HUMAN_Seuma_2022,14811,14015,0.9462561609614476,2,42,42,13.0,29.0,False
YAP1_HUMAN_Araya_2012,10075,9713,0.9640694789081886,2,34,34,11.0,24.0,False
F7YBW8_MESOW_Aakre_2015,9192,9155,0.9959747606614447,4,4,4,5.0,5.0,True
F7YBW8_MESOW_Ding_2023,7922,7842,0.9899015400151477,10,10,10,8.0,34.0,False
DLG4_HUMAN_Faure_2021,6976,5696,0.8165137614678899,2,84,84,34.0,67.0,False
HECD1_HUMAN_Tsuboyama_2023_3DKM,5586,4342,0.7773003938417472,2,72,16,15.0,43.0,False
POLG_PESV_Tsuboyama_2023_2MXD,5130,4135,0.8060428849902534,2,53,12,15.0,36.0,False
GCN4_YEAST_Staller_2018,2638,2605,0.9874905231235784,44,44,44,36.0,43.0,False
UBE4B_HUMAN_Tsuboyama_2023_3L1X,3622,2504,0.6913307564881281,2,69,13,20.0,44.0,False
MYO3_YEAST_Tsuboyama_2023_2BTT,3297,2350,0.7127691841067637,2,61,14,13.0,56.0,False
AMFR_HUMAN_Tsuboyama_2023_4G3O,2972,2152,0.7240915208613729,2,47,5,6.0,13.0,True
SPTN1_CHICK_Tsuboyama_2023_1TUD,3201,2150,0.6716651046547953,2,60,11,12.0,37.0,False
OBSCN_HUMAN_Tsuboyama_2023_1V1C,3197,1984,0.6205817954332187,2,65,11,9.0,17.0,False
CSN4_MOUSE_Tsuboyama_2023_1UFM,3295,1942,0.5893778452200303,2,72,4,35.0,41.0,True
SDA_BACSU_Tsuboyama_2023_1PV0,2770,1936,0.6989169675090253,2,44,4,26.0,30.0,True
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,2915,1702,0.583876500857633,2,66,9,10.0,16.0,False
YNZC_BACSU_Tsuboyama_2023_2JVD,2300,1586,0.6895652173913044,2,39,7,10.0,20.0,False
VILI_CHICK_Tsuboyama_2023_1YU5,2568,1366,0.5319314641744548,2,65,7,11.0,31.0,False
CBX4_HUMAN_Tsuboyama_2023_2K28,2282,1365,0.598159509202454,2,50,7,9.0,38.0,False
NKX31_HUMAN_Tsuboyama_2023_2L9R,2482,1333,0.5370668815471394,2,61,5,3.0,7.0,True
RCRO_LAMBD_Tsuboyama_2023_1ORC,2278,1083,0.4754170324846356,2,63,6,8.0,16.0,True
SPA_STAAU_Tsuboyama_2023_1LP1,2105,1070,0.5083135391923991,2,55,6,2.0,29.0,True
DNJA1_HUMAN_Tsuboyama_2023_2LO1,2264,1048,0.4628975265017668,2,65,6,26.0,53.0,True
ISDH_STAAW_Tsuboyama_2023_2LHR,1944,1004,0.5164609053497943,2,55,6,12.0,22.0,True
BBC1_YEAST_Tsuboyama_2023_1TG0,2069,985,0.47607539874335425,2,64,6,18.0,28.0,True
YAIA_ECOLI_Tsuboyama_2023_2KVT,1890,962,0.508994708994709,2,52,8,9.0,14.0,False
MBD11_ARATH_Tsuboyama_2023_6ACV,2116,961,0.45415879017013233,2,66,6,3.0,43.0,True
PITX2_HUMAN_Tsuboyama_2023_2L7M,1824,886,0.4857456140350877,2,52,5,32.0,35.0,True
PR40A_HUMAN_Tsuboyama_2023_1UZC,2033,870,0.4279390063944909,2,63,3,19.0,21.0,True
NUSA_ECOLI_Tsuboyama_2023_1WCL,2028,722,0.35601577909270216,2,69,4,9.5,18.0,True
EPHB2_HUMAN_Tsuboyama_2023_1F0M,1960,721,0.3678571428571429,2,66,4,33.0,33.0,True
CBPA2_HUMAN_Tsuboyama_2023_1O6X,2068,711,0.34381044487427465,2,72,4,8.0,8.0,True
SR43C_ARATH_Tsuboyama_2023_2N88,1583,694,0.43840808591282376,2,48,4,9.0,9.0,True
BCHB_CHLTE_Tsuboyama_2023_2KRU,1572,682,0.43384223918575066,2,52,4,4.0,4.0,True
FECA_ECOLI_Tsuboyama_2023_2D1U,1886,667,0.35365853658536583,2,72,4,10.0,22.0,True
MAFG_MOUSE_Tsuboyama_2023_1K1V,1429,667,0.4667599720083975,2,41,4,3.0,29.0,True
CUE1_YEAST_Tsuboyama_2023_2MYX,1580,625,0.39556962025316456,2,52,4,5.0,10.0,True
THO1_YEAST_Tsuboyama_2023_2WQG,1279,623,0.4870992963252541,2,41,4,19.0,19.0,True
CATR_CHLRE_Tsuboyama_2023_2AMI,1903,563,0.29584866001050975,2,72,5,60.0,60.0,True
ODP2_GEOSE_Tsuboyama_2023_1W4G,1134,465,0.41005291005291006,2,44,6,21.0,27.0,True
TCRG1_MOUSE_Tsuboyama_2023_1E0L,1058,437,0.41304347826086957,2,35,4,2.0,14.0,True
SPG2_STRSG_Tsuboyama_2023_5UBS,1451,422,0.29083390764989664,2,56,4,47.0,47.0,True
TNKS2_HUMAN_Tsuboyama_2023_5JRT,1479,361,0.24408384043272482,2,59,2,14.0,14.0,True
NUSG_MYCTU_Tsuboyama_2023_2MI6,1380,361,0.26159420289855073,2,55,2,48.0,48.0,True
PSAE_PICP2_Tsuboyama_2023_1PSE,1579,360,0.2279924002533249,2,68,2,57.0,57.0,True
UBR5_HUMAN_Tsuboyama_2023_1I2T,1453,359,0.24707501720578115,2,58,2,4.0,4.0,True
RFAH_ECOLI_Tsuboyama_2023_2LCL,1326,357,0.2692307692307692,2,55,2,19.0,19.0,True
RBP1_HUMAN_Tsuboyama_2023_2KWH,1332,357,0.268018018018018,2,52,2,3.0,3.0,True
